matricula,cidade_em_que_nasceu,município_em_que_mora,curso,ira,ano_de_ingresso,prazo_para_terminar_o_curso,ch_total,semestre_em_que_o_aluno_está,quantidade_de_trancamentos,quantidade_de_reprovações,media_das_notas,variancia_das_notas,CRT0002,CRT0003,CRT0004,CRT0006,CRT0007,CRT0008,CRT0009,CRT0010,CRT0011,CRT0018,CRT0021,CRT0022,CRT0023,CRT0026,CRT0027,CRT0028,CRT0029,CRT0030,CRT0031,CRT0032,CRT0033,CRT0034,CRT0035,CRT0038,CRT0039,CRT0040,CRT0041,CRT0042,CRT0043,CRT0044,CRT0082,CRT0086,CRT0226,CRT0229,CRT0230,CRT0232,CRT0233,CRT0234,CRT0235,CRT0236,CRT0237,CRT0238,CRT0239,CRT0240,CRT0241,CRT0242,CRT0243,CRT0244,CRT0245,CRT0246,CRT0247,CRT0248,CRT0249,CRT0250,CRT0251,CRT0252,CRT0253,CRT0254,CRT0255,CRT0262,CRT0264,CRT0265,CRT0266,CRT0267,CRT0268,CRT0269,CRT0270,CRT0272,CRT0273,CRT0274,CRT0275,CRT0276,CRT0294,CRT0302,CRT0303,CRT0306,CRT0308,CRT0313,CRT0314,CRT0315,CRT0316,CRT0320,CRT0324,CRT0326,CRT0329,CRT0330,CRT0338,CRT0344,CRT0383,CRT0384,CRT0385,CRT0386,CRT0387,CRT0388,CRT0390,CRT0391,CRT0392,CRT0393,CRT0394,CRT0402,CRT0403,CRT0404,CRT0405,CRT0406,CRT0407,CRT0408,CRT0409,CRT0410,CRT0411,CRT0412,CRT0413,CRT0414,CRT0415,CRT0416,CRT0417,CRT0418,CRT0419,CRT0420,CRT0421,CRT0431,CRT0432,CRT0433,CRT0434,reprovado_vezes_CRT0002,reprovado_vezes_CRT0003,reprovado_vezes_CRT0004,reprovado_vezes_CRT0006,reprovado_vezes_CRT0007,reprovado_vezes_CRT0008,reprovado_vezes_CRT0009,reprovado_vezes_CRT0010,reprovado_vezes_CRT0011,reprovado_vezes_CRT0018,reprovado_vezes_CRT0021,reprovado_vezes_CRT0022,reprovado_vezes_CRT0023,reprovado_vezes_CRT0026,reprovado_vezes_CRT0027,reprovado_vezes_CRT0028,reprovado_vezes_CRT0029,reprovado_vezes_CRT0030,reprovado_vezes_CRT0031,reprovado_vezes_CRT0032,reprovado_vezes_CRT0033,reprovado_vezes_CRT0034,reprovado_vezes_CRT0035,reprovado_vezes_CRT0038,reprovado_vezes_CRT0039,reprovado_vezes_CRT0040,reprovado_vezes_CRT0041,reprovado_vezes_CRT0042,reprovado_vezes_CRT0043,reprovado_vezes_CRT0044,reprovado_vezes_CRT0082,reprovado_vezes_CRT0086,reprovado_vezes_CRT0226,reprovado_vezes_CRT0229,reprovado_vezes_CRT0230,reprovado_vezes_CRT0232,reprovado_vezes_CRT0233,reprovado_vezes_CRT0234,reprovado_vezes_CRT0235,reprovado_vezes_CRT0236,reprovado_vezes_CRT0237,reprovado_vezes_CRT0238,reprovado_vezes_CRT0239,reprovado_vezes_CRT0240,reprovado_vezes_CRT0241,reprovado_vezes_CRT0242,reprovado_vezes_CRT0243,reprovado_vezes_CRT0244,reprovado_vezes_CRT0245,reprovado_vezes_CRT0246,reprovado_vezes_CRT0247,reprovado_vezes_CRT0248,reprovado_vezes_CRT0249,reprovado_vezes_CRT0250,reprovado_vezes_CRT0251,reprovado_vezes_CRT0252,reprovado_vezes_CRT0253,reprovado_vezes_CRT0254,reprovado_vezes_CRT0255,reprovado_vezes_CRT0262,reprovado_vezes_CRT0264,reprovado_vezes_CRT0265,reprovado_vezes_CRT0266,reprovado_vezes_CRT0267,reprovado_vezes_CRT0268,reprovado_vezes_CRT0269,reprovado_vezes_CRT0270,reprovado_vezes_CRT0272,reprovado_vezes_CRT0273,reprovado_vezes_CRT0274,reprovado_vezes_CRT0275,reprovado_vezes_CRT0276,reprovado_vezes_CRT0294,reprovado_vezes_CRT0302,reprovado_vezes_CRT0303,reprovado_vezes_CRT0306,reprovado_vezes_CRT0308,reprovado_vezes_CRT0313,reprovado_vezes_CRT0314,reprovado_vezes_CRT0315,reprovado_vezes_CRT0316,reprovado_vezes_CRT0320,reprovado_vezes_CRT0324,reprovado_vezes_CRT0326,reprovado_vezes_CRT0329,reprovado_vezes_CRT0330,reprovado_vezes_CRT0338,reprovado_vezes_CRT0344,reprovado_vezes_CRT0383,reprovado_vezes_CRT0384,reprovado_vezes_CRT0385,reprovado_vezes_CRT0386,reprovado_vezes_CRT0387,reprovado_vezes_CRT0388,reprovado_vezes_CRT0390,reprovado_vezes_CRT0391,reprovado_vezes_CRT0392,reprovado_vezes_CRT0393,reprovado_vezes_CRT0394,reprovado_vezes_CRT0402,reprovado_vezes_CRT0403,reprovado_vezes_CRT0404,reprovado_vezes_CRT0405,reprovado_vezes_CRT0406,reprovado_vezes_CRT0407,reprovado_vezes_CRT0408,reprovado_vezes_CRT0409,reprovado_vezes_CRT0410,reprovado_vezes_CRT0411,reprovado_vezes_CRT0412,reprovado_vezes_CRT0413,reprovado_vezes_CRT0414,reprovado_vezes_CRT0415,reprovado_vezes_CRT0416,reprovado_vezes_CRT0417,reprovado_vezes_CRT0418,reprovado_vezes_CRT0419,reprovado_vezes_CRT0420,reprovado_vezes_CRT0421,reprovado_vezes_CRT0431,reprovado_vezes_CRT0432,reprovado_vezes_CRT0433,reprovado_vezes_CRT0434
536291,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,6.9478,2022.1,2026.1,1072.0,9,0,5,6.627272727272728,14.53731601731602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
538849,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,7.3944,2022.1,2026.1,1968.0,9,1,3,7.488571428571429,3.694571428571429,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538569,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,7.3279,2022.1,2026.1,1824.0,9,1,4,7.541176470588234,3.421889483065954,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537529,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,6.7188,2022.1,2026.1,2432.0,9,0,5,6.965116279069767,6.9237541528239195,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
558540,UBAJARA/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,5.6903,2023.1,2027.1,1104.0,7,2,7,6.367999999999999,7.433933333333333,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555346,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,5.8271,2023.1,2027.1,1184.0,7,1,8,5.651851851851851,9.004131054131054,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553970,NOVO ORIENTE/CE,NOVO ORIENTE,SISTEMAS DE INFORMAÇÃO,6.8681,2023.1,2027.1,1664.0,7,1,4,6.987096774193549,6.832494623655917,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548345,IPUEIRAS/CE,IPUEIRAS,SISTEMAS DE INFORMAÇÃO,4.662,2023.1,2027.1,832.0,7,2,12,4.868,7.958933333333335,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554056,NOVO ORIENTE/CE,NOVO ORIENTE,SISTEMAS DE INFORMAÇÃO,5.5768,2023.1,2027.1,1472.0,7,2,7,5.7548387096774185,6.179225806451613,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552950,JABOATÃO DOS GUARARAPES/PE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,7.0294,2023.1,2027.1,1280.0,7,0,4,7.25,10.5162,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552508,PORANGA/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,7.7228,2023.1,2027.1,1952.0,7,1,3,8.074285714285715,3.9913781512605047,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552739,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,5.734,2023.1,2027.1,1056.0,7,0,8,5.752000000000001,6.650099999999999,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555175,SOBRAL/CE,NOVO ORIENTE,SISTEMAS DE INFORMAÇÃO,7.9291,2023.1,2027.1,2208.0,7,0,3,7.623076923076924,5.084453441295547,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
555476,CRATEÚS/CE,ARARENDÁ,SISTEMAS DE INFORMAÇÃO,5.0751,2023.1,2027.1,1296.0,7,1,9,6.156666666666667,11.900471264367816,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
554907,NOVA RUSSAS/CE,NOVA RUSSAS,SISTEMAS DE INFORMAÇÃO,6.4847,2023.1,2027.1,1344.0,7,0,6,6.710714285714287,5.463214285714286,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552915,CRATEÚS/CE,IPAPORANGA,SISTEMAS DE INFORMAÇÃO,9.2904,2023.1,2027.1,2208.0,7,0,0,9.122222222222222,0.758920634920635,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554078,RIO DE JANEIRO/RJ,NOVO ORIENTE,SISTEMAS DE INFORMAÇÃO,8.2264,2023.1,2027.1,2080.0,7,0,1,8.248571428571429,1.7578655462184876,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554670,CRATEÚS/CE,FORTALEZA,SISTEMAS DE INFORMAÇÃO,7.6516,2023.1,2027.1,1664.0,7,0,3,7.536666666666667,2.0555057471264364,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552322,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,6.5775,2023.1,2027.1,1760.0,7,1,5,7.161764705882353,7.266675579322637,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
